t (s),Actual,Predicted_RF,Predicted_DT,Absolute Error RF,Absolute Error DT,Squared Error RF,Squared Error DT,SST,,,52.84811719
9005,52.97101,52.96010054,52.95757505,0.010909455,0.013434952,0.000119016,0.000180498,0.015102643,,,
9006,52.961245,52.96218193,52.96001967,0.000936929,0.001225333,8.77837E-07,1.50144E-06,0.012797901,,,
9007,52.961245,52.96187189,52.96008416,0.000626886,0.001160842,3.92987E-07,1.34755E-06,0.012797901,,,
9008,52.969989,52.96195298,52.9601422,0.008036025,0.0098468,6.45777E-05,9.69595E-05,0.014852738,,,
9009,52.969989,52.96306661,52.9606111,0.006922392,0.009377905,4.79195E-05,8.79451E-05,0.014852738,,,
9010,52.97353,52.96406219,52.96434343,0.009467807,0.009186571,8.96394E-05,8.43931E-05,0.015728373,,,
9011,52.97353,52.96524919,52.96495587,0.008280813,0.008574133,6.85719E-05,7.35158E-05,0.015728373,,,
9012,52.960784,52.96606357,52.96650457,0.005279574,0.005720571,2.78739E-05,3.27249E-05,0.01269381,,,
9013,52.960784,52.96563063,52.9661232,0.004846633,0.0053392,2.34899E-05,2.85071E-05,0.01269381,,,
9014,52.964112,52.9652824,52.96496867,0.001170402,0.000856667,1.36984E-06,7.33878E-07,0.013454796,,,
9015,52.964112,52.96523957,52.96492358,0.001127575,0.000811579,1.27142E-06,6.5866E-07,0.013454796,,,
9016,52.972206,52.96526244,52.964883,0.006943557,0.007323,4.8213E-05,5.36263E-05,0.015398033,,,
9017,52.972206,52.9656681,52.96595063,0.006537897,0.006255368,4.27441E-05,3.91296E-05,0.015398033,,,
9018,52.98215,52.96598563,52.9662634,0.016164374,0.0158866,0.000261287,0.000252384,0.017964794,,,
9019,52.98215,52.96776647,52.9670199,0.014383533,0.015130095,0.000206886,0.00022892,0.017964794,,,
9020,52.985501,52.96938452,52.96770764,0.016116476,0.017793364,0.000259741,0.000316604,0.018874311,,,
9021,52.985501,52.9712818,52.97000058,0.014219205,0.015500421,0.000202186,0.000240263,0.018874311,,,
9022,53.000178,52.97378056,52.9707756,0.026397439,0.0294024,0.000696825,0.000864501,0.02312249,,,
9023,53.000178,52.98167484,52.987096,0.01850316,0.013082,0.000342367,0.000171139,0.02312249,,,
9024,52.973195,52.98489929,52.98927633,0.011704287,0.016081333,0.00013699,0.000258609,0.015644459,,,
9025,52.973195,52.97828889,52.9631381,0.00509389,0.010056903,2.59477E-05,0.000101141,0.015644459,,,
9026,52.992514,52.9845736,52.98927633,0.0079404,0.003237667,6.305E-05,1.04825E-05,0.020850439,,,
9027,52.992514,52.98590862,52.98973886,0.006605384,0.002775143,4.36311E-05,7.70142E-06,0.020850439,,,
9028,52.982022,52.98746131,52.99008575,0.005439313,0.00806375,2.95861E-05,6.50241E-05,0.017930498,,,
9029,52.982022,52.98604037,52.98918978,0.004018373,0.007167778,1.61473E-05,5.1377E-05,0.017930498,,,
9030,52.995037,52.98677712,52.988473,0.008259885,0.006564,6.82257E-05,4.30861E-05,0.021585431,,,
